goos: linux
goarch: amd64
pkg: github.com/hyperlocalise/rain-orm/pkg/rain
cpu: Intel(R) Xeon(R) Processor @ 2.30GHz
BenchmarkSQLiteSelectJoinScan/small-4                     	    1203	    961967 ns/op	   94360 B/op	    4052 allocs/op
BenchmarkSQLiteSelectJoinScan/medium-4                    	     656	   1900526 ns/op	  186744 B/op	    8052 allocs/op
BenchmarkSQLiteSelectJoinScan/medium-4                    	     621	   1892442 ns/op	  186745 B/op	    8052 allocs/op
BenchmarkSQLiteSelectJoinScan/medium-4                    	     632	   1890303 ns/op	  186744 B/op	    8052 allocs/op
BenchmarkSQLiteSelectJoinScan/large-4                     	     627	   1971780 ns/op	  186744 B/op	    8052 allocs/op
BenchmarkSQLiteSelectJoinScan/large-4                     	     639	   1925166 ns/op	  186744 B/op	    8052 allocs/op
BenchmarkSQLiteSelectJoinScan/large-4                     	     614	   1872845 ns/op	  186744 B/op	    8052 allocs/op
BenchmarkSQLiteSelectWithRelations/small-4                	    2031	    590183 ns/op	   49440 B/op	    1103 allocs/op
BenchmarkSQLiteSelectWithRelations/small-4                	    2001	    606139 ns/op	   49440 B/op	    1103 allocs/op
BenchmarkSQLiteSelectWithRelations/small-4                	    1929	    603011 ns/op	   49440 B/op	    1103 allocs/op
BenchmarkSQLiteSelectWithRelations/medium-4               	     279	   4292851 ns/op	  436194 B/op	   10402 allocs/op
BenchmarkSQLiteSelectWithRelations/medium-4               	     282	   4374349 ns/op	  436195 B/op	   10402 allocs/op
BenchmarkSQLiteSelectWithRelations/medium-4               	     282	   4317252 ns/op	  436193 B/op	   10402 allocs/op
BenchmarkSQLiteSelectWithRelations/large-4                	      56	  19930887 ns/op	  436197 B/op	   10402 allocs/op
BenchmarkSQLiteSelectWithRelations/large-4                	      56	  19839334 ns/op	  436194 B/op	   10402 allocs/op
BenchmarkSQLiteSelectWithRelations/large-4                	      61	  19928178 ns/op	  436197 B/op	   10402 allocs/op
BenchmarkSQLiteRichGroupedAggregateScan/small-4           	    1374	    857439 ns/op	    2736 B/op	      67 allocs/op
BenchmarkSQLiteRichGroupedAggregateScan/small-4           	    1428	    835813 ns/op	    2736 B/op	      67 allocs/op
BenchmarkSQLiteRichGroupedAggregateScan/small-4           	    1390	    839110 ns/op	    2736 B/op	      67 allocs/op
BenchmarkSQLiteRichGroupedAggregateScan/medium-4          	     154	   7722456 ns/op	    2768 B/op	      70 allocs/op
BenchmarkSQLiteRichGroupedAggregateScan/medium-4          	     152	   7830415 ns/op	    2768 B/op	      70 allocs/op
BenchmarkSQLiteRichGroupedAggregateScan/medium-4          	     158	   7747314 ns/op	    2768 B/op	      70 allocs/op
BenchmarkSQLiteRichGroupedAggregateScan/large-4           	      10	 106214028 ns/op	    2769 B/op	      70 allocs/op
BenchmarkSQLiteRichGroupedAggregateScan/large-4           	      10	 107812493 ns/op	    2771 B/op	      70 allocs/op
BenchmarkSQLiteRichGroupedAggregateScan/large-4           	      10	 106792406 ns/op	    2768 B/op	      70 allocs/op
BenchmarkSQLiteRichSubqueryJoinScan/small-4               	    4364	    264117 ns/op	    4440 B/op	     133 allocs/op
