goos: linux
goarch: amd64
pkg: github.com/hyperlocalise/rain-orm/pkg/rain
cpu: Intel(R) Xeon(R) Processor @ 2.30GHz
BenchmarkSQLiteInsertModel/small-4               	     532	   2283287 ns/op	    2026 B/op	      48 allocs/op
BenchmarkSQLiteInsertModel/small-4               	     478	   3017819 ns/op	    2025 B/op	      48 allocs/op
BenchmarkSQLiteInsertModel/small-4               	     524	   2509790 ns/op	    2026 B/op	      48 allocs/op
BenchmarkSQLiteInsertModel/medium-4              	     465	   2746133 ns/op	    2025 B/op	      48 allocs/op
BenchmarkSQLiteInsertModel/medium-4              	     422	   2912815 ns/op	    2025 B/op	      48 allocs/op
BenchmarkSQLiteInsertModel/medium-4              	     435	   2944965 ns/op	    2024 B/op	      48 allocs/op
BenchmarkSQLiteInsertModel/large-4               	     482	   2564115 ns/op	    2026 B/op	      48 allocs/op
BenchmarkSQLiteInsertModel/large-4               	     430	   2430952 ns/op	    2024 B/op	      48 allocs/op
BenchmarkSQLiteInsertModel/large-4               	     450	   2731995 ns/op	    2025 B/op	      48 allocs/op
BenchmarkSQLiteInsertSet/small-4                 	     517	   2334462 ns/op	    1928 B/op	      39 allocs/op
BenchmarkSQLiteInsertSet/small-4                 	     528	   2789730 ns/op	    1927 B/op	      39 allocs/op
BenchmarkSQLiteInsertSet/small-4                 	     501	   2198357 ns/op	    1927 B/op	      39 allocs/op
BenchmarkSQLiteInsertSet/medium-4                	     502	   2440666 ns/op	    1930 B/op	      39 allocs/op
BenchmarkSQLiteInsertSet/medium-4                	     429	   2499135 ns/op	    1927 B/op	      39 allocs/op
BenchmarkSQLiteInsertSet/medium-4                	     456	   3438086 ns/op	    1928 B/op	      39 allocs/op
BenchmarkSQLiteInsertSet/large-4                 	     511	   2626428 ns/op	    1927 B/op	      39 allocs/op
BenchmarkSQLiteInsertSet/large-4                 	     463	   2570509 ns/op	    1929 B/op	      39 allocs/op
BenchmarkSQLiteInsertSet/large-4                 	     487	   2240208 ns/op	    1928 B/op	      39 allocs/op
BenchmarkSQLiteSelectPointLookup/small-4         	   25095	     42213 ns/op	    2392 B/op	      51 allocs/op
BenchmarkSQLiteSelectPointLookup/small-4         	   27166	     46157 ns/op	    2392 B/op	      51 allocs/op
BenchmarkSQLiteSelectPointLookup/small-4         	   28180	     42853 ns/op	    2392 B/op	      51 allocs/op
BenchmarkSQLiteSelectPointLookup/medium-4        	   27530	     42135 ns/op	    2408 B/op	      53 allocs/op
BenchmarkSQLiteSelectPointLookup/medium-4        	   25306	     46265 ns/op	    2408 B/op	      53 allocs/op
BenchmarkSQLiteSelectPointLookup/medium-4        	   26613	     42358 ns/op	    2408 B/op	      53 allocs/op
BenchmarkSQLiteSelectPointLookup/large-4         	   28328	     40453 ns/op	    2408 B/op	      53 allocs/op
BenchmarkSQLiteSelectPointLookup/large-4         	   29728	     41090 ns/op	    2408 B/op	      53 allocs/op
BenchmarkSQLiteSelectPointLookup/large-4         	   29296	     42141 ns/op	    2408 B/op	      53 allocs/op
BenchmarkSQLitePreparedSelectPointLookup/small-4 	   49990	     23361 ns/op	    1720 B/op	      39 allocs/op
BenchmarkSQLitePreparedSelectPointLookup/small-4 	   45553	     25223 ns/op	    1720 B/op	      39 allocs/op
BenchmarkSQLitePreparedSelectPointLookup/small-4 	   49369	     25094 ns/op	    1720 B/op	      39 allocs/op
BenchmarkSQLitePreparedSelectPointLookup/medium-4         	   50468	     25401 ns/op	    1736 B/op	      41 allocs/op
BenchmarkSQLitePreparedSelectPointLookup/medium-4         	   44376	     24851 ns/op	    1736 B/op	      41 allocs/op
BenchmarkSQLitePreparedSelectPointLookup/medium-4         	   48512	     26012 ns/op	    1736 B/op	      41 allocs/op
BenchmarkSQLitePreparedSelectPointLookup/large-4          	   47546	     26791 ns/op	    1736 B/op	      41 allocs/op
BenchmarkSQLitePreparedSelectPointLookup/large-4          	   51246	     24615 ns/op	    1736 B/op	      41 allocs/op
BenchmarkSQLitePreparedSelectPointLookup/large-4          	   50594	     24798 ns/op	    1736 B/op	      41 allocs/op
BenchmarkSQLiteSelectFilteredSlice/small-4                	    5556	    200378 ns/op	   15872 B/op	     746 allocs/op
BenchmarkSQLiteSelectFilteredSlice/small-4                	    5354	    199476 ns/op	   15872 B/op	     746 allocs/op
BenchmarkSQLiteSelectFilteredSlice/small-4                	    5938	    203575 ns/op	   15872 B/op	     746 allocs/op
BenchmarkSQLiteSelectFilteredSlice/medium-4               	     834	   1450685 ns/op	  135073 B/op	    7419 allocs/op
BenchmarkSQLiteSelectFilteredSlice/medium-4               	     807	   1445325 ns/op	  135073 B/op	    7419 allocs/op
BenchmarkSQLiteSelectFilteredSlice/medium-4               	     813	   1434552 ns/op	  135073 B/op	    7419 allocs/op
BenchmarkSQLiteSelectFilteredSlice/large-4                	     796	   1448855 ns/op	  135073 B/op	    7419 allocs/op
BenchmarkSQLiteSelectFilteredSlice/large-4                	     784	   1536026 ns/op	  135073 B/op	    7419 allocs/op
BenchmarkSQLiteSelectFilteredSlice/large-4                	     819	   1540330 ns/op	  135072 B/op	    7419 allocs/op
BenchmarkSQLiteSelectBulkScan/small-4                     	    3399	    318330 ns/op	   29008 B/op	    1436 allocs/op
BenchmarkSQLiteSelectBulkScan/small-4                     	    3656	    316997 ns/op	   29008 B/op	    1436 allocs/op
BenchmarkSQLiteSelectBulkScan/small-4                     	    3745	    343461 ns/op	   29008 B/op	    1436 allocs/op
BenchmarkSQLiteSelectBulkScan/medium-4                    	     382	   2846219 ns/op	  267410 B/op	   14781 allocs/op
BenchmarkSQLiteSelectBulkScan/medium-4                    	     400	   3059821 ns/op	  267411 B/op	   14781 allocs/op
BenchmarkSQLiteSelectBulkScan/medium-4                    	     420	   3000850 ns/op	  267410 B/op	   14781 allocs/op
BenchmarkSQLiteSelectBulkScan/large-4                     	      38	  28574577 ns/op	 2647344 B/op	  149781 allocs/op
BenchmarkSQLiteSelectBulkScan/large-4                     	      39	  30890899 ns/op	 2647354 B/op	  149781 allocs/op
BenchmarkSQLiteSelectBulkScan/large-4                     	      43	  27400479 ns/op	 2647340 B/op	  149781 allocs/op
BenchmarkSQLiteSelectJoinScan/small-4                     	    1252	    923754 ns/op	   78544 B/op	    3556 allocs/op
BenchmarkSQLiteSelectJoinScan/small-4                     	    1316	    892545 ns/op	   78544 B/op	    3556 allocs/op
BenchmarkSQLiteSelectJoinScan/small-4                     	    1261	    988349 ns/op	   78544 B/op	    3556 allocs/op
BenchmarkSQLiteSelectJoinScan/medium-4                    	     663	   1859760 ns/op	  154928 B/op	    7056 allocs/op
BenchmarkSQLiteSelectJoinScan/medium-4                    	     658	   1870105 ns/op	  154928 B/op	    7056 allocs/op
